Country,Population,Region,"Estimated prevalence of modern slavery per 1,000 population",Estimated number of people in modern slavery,Governance issues,Effects of conflict,Total Vulnerability score (%),"Risk factors, such as attitudes, social systems, and institutions that enable modern slavery are addressed (%)",Government response total (%),Survivors of slavery are identified and supported to exit and remain out of modern slavery (%)
Republic of the Congo,5518000,Africa,7.990757942199707,44000,80.95894110848019,32.76051232513499,76.79932769368234,21.4285717010498,28.20512771606445,40.90909194946289
Romania,19238000,Europe and Central Asia,7.549961566925049,145000,27.4630157715279,12.42006508822918,25.88511146501303,50,57.69230651855469,59.09090805053711
Russia,145934000,Europe and Central Asia,13.01579189300537,1899000,74.55939829258696,48.50126403104843,59.89323334347669,21.4285717010498,24.35897445678711,4.545454502105713
Rwanda,12952000,Africa,4.252303600311279,55000,39.76866707729899,31.26264463704702,52.93682500368358,57.14285659790039,50,54.54545593261719
Saint Lucia,184000,Americas,,,,,,57.14285659790039,51.28205108642578,45.45454406738281
Saint Vincent and the Grenadines,111000,Americas,,,,,,28.5714282989502,44.87179565429688,59.09090805053711
Saudi Arabia,34814000,Arab States,21.26152055941187,740000,66.15283720383002,47.41697224411786,52.52693922776848,42.85714340209961,48.71794891357422,59.09090805053711
Senegal,16744000,Africa,2.941902160644531,49000,58.00300473040375,20.38146750768385,52.85804597239245,35.71428680419922,39.74359130859375,36.3636360168457
Serbia,8737000,Europe and Central Asia,7.015529632568359,61000,34.58002592764534,20.65298047240795,34.40828436312224,50,56.41025543212891,63.6363639831543
Seychelles,98000,Africa,,,,,,42.85714340209961,33.33333206176758,22.72727203369141
Sierra Leone,7977000,Africa,3.402239561080933,27000,48.52786475200061,18.78920561227897,55.3283512620345,35.71428680419922,33.33333206176758,27.27272796630859
Singapore,5850000,Asia and the Pacific,2.133502960205078,12000,39.12840484263177,12.96352689786364,24.37726324845873,57.14285659790039,47.43589782714844,54.54545593261719
Slovakia,5460000,Europe and Central Asia,7.651405811309814,42000,14.06376533827476,13.81032095257501,16.3875057300348,78.57142639160156,57.69230651855469,50
Slovenia,2079000,Europe and Central Asia,4.448514461517334,9000,13.23509920061694,1,8.860574779786777,64.28571319580078,56.41025543212891,50
Solomon Islands,687000,Asia and the Pacific,,,,,,42.85714340209961,30.76922988891602,13.6363639831543
Somalia,15893000,Africa,6.173291206359863,98000,92.82619016808088,80.38925892406589,98.36658293844785,21.4285717010498,17.94871711730957,9.090909004211426
South Africa,59309000,Africa,2.662498235702515,158000,40.90183279929678,31.95358324654009,52.19647760057009,57.14285659790039,52.56410217285156,45.45454406738281
South Korea,51269000,Asia and the Pacific,3.502935409545898,180000,30.10074011197326,12.59579051189766,28.60360372429959,35.71428680419922,38.46154022216797,40.90909194946289
South Sudan,11194000,Africa,10.29315185546875,115000,98.55920586677854,75.06396547652707,100,,,
Spain,46755000,Europe and Central Asia,2.312372207641602,108000,11.90883606183031,27.87088902102145,10.37075274872592,71.42857360839844,62.82051467895508,54.54545593261719
Sri Lanka,21413000,Asia and the Pacific,6.470595836639404,139000,60.29675547888647,42.03655069282247,55.74424337266002,50,48.71794891357422,45.45454406738281
Sudan,43849000,Africa,3.974432945251465,174000,85.55335470807789,82.9159374235876,82.44609683714181,21.4285717010498,25.64102554321289,9.090909004211426
Suriname,587000,Americas,,,,,,35.71428680419922,30.76922988891602,36.3636360168457
